Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
70,Shane Matthews,BUF,34,,3,0,,2,3,66.7,44,1,33.3,0,0,2,33,14.7,21.3,22,14.7,149.3,0,0,0,14.67,21.33,,
71,Todd Collins,KAN,33,,2,0,,1,5,20,42,0,0,0,0,1,42,8.4,8.4,42,21,62.1,0,0,0,8.4,8.4,,
72,LaDainian Tomlinson*+,SDG,25,RB,15,15,,1,2,50,38,0,0,0,0,1,38,19,19,38,2.5,95.8,1,1,33.3,12.33,12.33,,
73,Randy Moss,MIN,27,WR,13,13,,1,2,50,37,0,0,1,50,1,37,18.5,-4,37,2.8,56.2,0,0,0,18.5,-4,,
74,Philip Rivers,SDG,23,,2,0,,5,8,62.5,33,1,12.5,0,0,3,13,4.1,6.6,6.6,16.5,110.9,0,0,0,4.13,6.63,,
75,J.P. Losman,BUF,23,,4,0,,3,5,60,32,0,0,1,20,2,17,6.4,-2.6,10.7,8,39.2,1,0,16.7,5.33,-2.17,,
76,Richie Anderson,DAL,33,,12,4,,1,1,100,26,1,100,0,0,1,26,26,46,26,2.2,158.3,0,0,0,26,46,,
77,Drew Bennett,TEN,26,WR,16,16,,1,1,100,26,1,100,0,0,1,26,26,46,26,1.6,158.3,0,0,0,26,46,,
78,Peerless Price,ATL,28,WR,16,15,,1,1,100,25,0,0,0,0,1,25,25,25,25,1.6,118.7,0,0,0,25,25,,
79,Chris Mohr,ATL,38,,16,0,,2,3,66.7,24,0,0,0,0,1,26,8,8,12,1.5,91,0,0,0,8,8,,
80,Brian Moorman,BUF,28,,16,0,,1,3,33.3,24,0,0,0,0,1,24,8,8,24,1.5,63.2,0,0,0,8,8,,
81,Emmitt Smith,ARI,35,RB,15,15,,1,1,100,21,1,100,0,0,1,21,21,41,21,1.4,158.3,0,0,0,21,41,,
82,Ahman Green*,GNB,27,RB,15,15,,1,1,100,20,1,100,0,0,1,20,20,40,20,1.3,158.3,0,0,0,20,40,,
83,Tony Banks,HOU,31,,5,0,,1,2,50,16,0,0,0,0,1,16,8,8,16,3.2,77.1,0,0,0,8,8,,
84,Clinton Portis,WAS,23,RB,15,15,,1,2,50,15,1,50,0,0,1,15,7.5,17.5,15,1,114.6,0,0,0,7.5,17.5,,
85,Jerome Bettis*,PIT,32,RB,15,6,,1,1,100,10,1,100,0,0,1,10,10,30,10,0.7,147.9,0,0,0,10,30,,
